,MD,Hook_load,WOB,RPM,Torque,Intake_pressure,ROP
309,2917.37,65.89,8.11,69.82,2.29,131.19,26.63
310,2917.44,65.88,8.12,69.64,2.45,130.76,26.63
311,2917.5,65.71,8.29,69.64,2.32,130.55,26.63
312,2917.5,65.56,8.44,69.82,2.29,130.18,26.63
313,2917.5,65.55,8.45,69.64,2.44,130.4,26.63
314,2917.56,65.45,8.55,69.73,2.26,131.25,26.63
315,2917.56,65.51,8.49,69.73,2.22,131.61,26.63
316,2917.56,65.78,8.22,69.82,2.21,131.66,26.63
317,2917.63,65.48,8.52,69.91,1.94,131.03,26.63
318,2917.69,65.47,8.53,69.91,1.84,130.62,26.63
319,2917.69,65.48,8.52,69.91,1.82,130.93,26.63
320,2917.75,65.06,8.94,69.91,1.71,130.8,26.63
321,2917.75,64.97,9.03,70.0,1.68,131.6,26.63
322,2917.82,64.67,9.33,70.09,1.48,132.06,26.63
323,2917.82,64.74,9.26,70.09,1.57,132.9,26.63
324,2917.88,63.97,10.03,70.0,1.65,133.6,26.63
325,2917.88,63.48,10.52,69.82,1.9,133.94,26.63
326,2917.88,63.77,10.23,70.0,1.86,134.11,26.63
327,2917.88,64.41,9.59,70.0,1.79,133.5,26.63
328,2917.88,64.96,9.04,70.0,1.79,132.07,26.63
329,2917.94,65.51,8.49,69.82,1.83,130.85,26.63
330,2917.94,65.47,8.53,69.73,2.16,130.26,26.63
331,2917.94,65.68,8.32,69.73,2.22,130.4,26.63
332,2918.01,65.42,8.58,69.64,2.28,130.38,20.48
333,2918.01,65.02,8.98,69.82,2.16,130.62,20.48
334,2918.07,65.22,8.78,69.73,2.21,130.9,20.48
335,2918.07,65.09,8.91,70.0,1.76,130.63,20.48
336,2918.07,65.23,8.77,70.09,1.62,131.21,20.48
337,2918.07,65.14,8.86,70.09,1.78,131.7,20.48
338,2918.13,65.64,8.36,70.0,1.82,131.75,20.48
339,2918.13,65.64,8.36,70.0,1.61,131.81,20.48
340,2918.2,65.86,8.14,70.09,1.34,131.74,20.48
341,2918.2,65.7,8.3,70.09,1.54,131.28,20.48
342,2918.26,65.97,8.03,70.18,1.43,130.98,20.48
343,2918.26,66.11,7.89,69.91,1.59,130.92,20.48
344,2918.26,65.9,8.11,70.0,1.51,130.68,20.48
345,2918.32,66.34,7.66,70.09,1.33,130.27,20.48
346,2918.32,66.87,7.13,70.0,1.5,129.61,20.48
347,2918.32,67.05,6.95,69.73,2.16,128.6,20.48
348,2918.39,67.39,6.61,69.82,2.08,128.14,20.48
349,2918.39,67.01,6.99,69.64,2.23,127.9,20.48
350,2918.45,66.6,7.4,69.64,2.21,128.31,20.48
351,2918.51,66.12,7.88,69.64,2.12,129.19,20.48
352,2918.58,65.68,8.32,69.64,2.21,130.53,20.48
353,2918.58,66.01,7.99,69.73,2.34,131.3,20.48
354,2918.58,66.22,7.78,69.73,2.25,130.72,20.48
355,2918.64,65.62,8.38,69.82,2.05,130.57,20.48
356,2918.7,65.49,8.51,69.73,2.16,130.56,20.48
357,2918.7,65.79,8.21,70.09,1.85,130.79,20.48
358,2918.77,65.79,8.22,70.0,1.63,130.75,20.48
359,2918.77,65.69,8.31,70.09,1.7,130.88,20.48
360,2918.83,65.75,8.25,70.09,1.75,131.25,20.48
361,2918.83,65.95,8.05,70.0,1.62,131.4,20.48
362,2918.83,66.62,7.38,70.0,1.68,130.99,20.48
363,2918.83,67.45,6.55,70.0,1.61,129.51,20.48
